index,code,description,type,encodedPolyline,latitude,longitude
26,NLGTB00000,Geertruidenberg,4,geszHckq\xc@iNkC_[q[GnFo^`OmCxAeCyD_Fbe@_b@tXsBhHtLpBdh@rM~p@rDve@tUhNbXgAaB}SaQbJuTmNgDq[lBoMqEgFaMel@H{]sJ_QoIyA}WnD__@b\kWd]aFzl@hEva@,51.713,4.84546
27,NLWLK00000,Waalwijk,4,s`rzHqbz]`aBgJuAo`@maB`KnBv_@,51.70714,5.05401
28,NLOSS00000,Oss,4,}bg{Hy`x`@Hu[fl@kcAdaB|[bFc|@rH`Ge@faAvr@nFy@en@|KdBeAb_AooAyNmqAoc@aw@|nA,51.81503,5.53501
29,NLWCH00000,Wijchen,4,_gc{Hq}sa@vMqW|KkcApDc`@wBg\gd@vIqQll@lFvp@fRrp@,51.7952,5.67785
30,NLCUY00000,Cuijk,4,qa|zHo~tb@NoUd_@_N_Ey~@|OcDhLjuAk^~I^jSmJnBwN_N,51.75849,5.84696
31,NLGEN00000,Gennep,4,uqnzHimkc@htAaV_Fcm@s]dBsHsKmSbHdAzl@yDi@y@e[mO`GtBfk@,51.68939,5.96197
32,NLBOX00000,Boxmeer,4,ejjzHw{jc@xAsZdl@lChQi@bP{BvOsDrZi[|Wa]bTyz@|[qpAtC~Img@h`Ca~@xeAww@xJmn@vI,51.66771,5.95916
33,NLVNR00000,Venray,4,etryHm`bd@~BsOjz@aGTr^wRwI{UmAqBBTtRyDPUkJ}DaEaEvB,51.54643,6.07767
34,BELGG00000,Liege,4,qajtHg_na@rMum@~bAf}@~cAwXfl@v_@hNzfAcEthBja@hrBnx@nr@^ha@hnAbA^dn@}|@x`@oyAg}@_sAmzH}aBoaAok@ae@,50.68329,5.6474
35,NLDOE00000,Doesburg,4,wsn|Hk_ld@|ThCnP{KxGuNuFwI{n@mo@oPh@_@fz@fXhV,52.0174,6.1287
36,NLDOI00000,Doetinchem,4,_ve|H}nfe@fEnFrBgJpKgU`Iae@rCuf@jU{e@|m@dE|Ya@`^o\h@eXgc@ri@saA_C{Jh@kQxd@iDdf@gZbjA,51.97168,6.26431
37,NLZUT00000,Zutphen,4,mcf}Hk~wd@DcQ{FoHMvMgc@hRmBgQaHlAis@uAlB}Wgl@qNi[xk@cAnQvR|Wf]lIbg@pRru@mj@jc@sS,52.13767,6.18998
38,NLDEV00000,Deventer,4,w|x}Hkftd@??zHpo@??eTdV??aa@iK??iXqJ??yLbL??{EbW??oDwK??jFaR??dJaM??zAyU??DwI??oUcA??n@{G??dRxC??tA{G??kRgH??zAmG??lRlI??vBo@??x@sF??{Cs^??gVpJ??AmC??dUwM??yEma@??iMnF??iKyS??qL|q@??{AcA??`Mor@??aBuC??n@mC??tOtU??zY{K??`@xE??mHtC??hLzbA{Cpf@??j`AyA??,52.23388,6.17078
39,NLHGL00000,Hengelo,4,qh|}H{phh@pEzDp[q`FtGevAdSwy@aDgJ{Pnv@kE_F{Fnc@`DpNkG|nAiBkOwE~I|Dt[}Cfo@eGwMyAlLzHnU_L~eB,52.25113,6.76638
40,NLENS00000,Enschede,4,imz}Hussh@sC_Jx|BkkEE_Y|CiCfCl_@mf@~`ApDtEbf@a{@x@|W_c@`s@mYtAwiA|wB,52.24165,6.82315
41,NLALM00000,Almelo,4,yft~Hmvng@vB|LpNsK`Oh~@_@rSfEtLpOeT`EsScBcx@qOaVlLoUuGkS_o@t`A,52.37373,6.63415
42,BEHZZ00000,Heusden,4,oywzHgvf^??bHqC??sNixA??lKjD??~FgJ??iH}^??hDaV??g\y~@??cDxC~Efg@??cItE??pZxeD??,51.73672,5.1186
43,NLBOT00000,Botlek,4,_uq{HailY|DvyJwzAza@sjBwg@rl@{jExJ}UkE}v@zAkM`D_L|EgHjG_FxRoH,51.86912,4.32801
44,NLNIJ00000,Nijmegen,4,o{p{Hywpb@bHsOdW?vLeXhA`@iDjZjlA~`AbC{D}j@ah@rB_Jr^zZd@oFu\s^bDqJxb@bWxFv}@|b@n\_B|Sw`CacBy`@PiFcH,51.86504,5.82541
